,4984495,104956
BNQZ,407,18
BNR,11801,378
BNRR,402,17
BNRS,756,23
BNRT,1640,63
BNRU,216,7
BNRV,1046,45
BNRW,504,24
BNRX,399,14
BNRY,240,8
BNRZ,943,32
BNS,3215,81
BNST,408,13
BNSU,20,1
BNSV,315,9
BNSW,164,6
BNSX,20,1
BNSZ,259,6
BNT,11271,359
BNTT,625,23
BNTU,249,9
BNTV,1257,58
BNTW,384,15
BNTX,452,17
BNTY,333,11
BNTZ,652,26
BNU,5243,154
BNUV,331,15
BNUW,239,7
BNUX,40,2
BNUZ,220,5
BNV,8741,311
BNVW,430,23
BNVX,235,8
BNVY,214,6
BNVZ,589,21
BNW,4000,128
BNWX,94,3
BNWY,110,4
BNWZ,155,5
BNX,2418,65
BNXY,40,1
BNXZ,83,4
BNY,2267,61
BNYZ,11,1
BNZ,3176,100
BO,35615,865
BOO,2973,77
BOOO,128,3
BOOP,62,2
BOOQ,36,3
BOOR,184,6
BOOS,30,1
BOOT,168,6
BOOU,34,2
BOOV,104,2
BOOW,44,2
BOOY,45,1
BOP,1691,52
BOPR,92,4
BOPS,31,1
BOPT,87,3
BOPU,34,1
BOPV,122,3
BOPW,33,2
BOPX,54,1
BOPZ,23,1
BOQ,4870,148
BOQR,355,12
BOQS,24,1
BOQT,83,3
BOQU,75,3
BOQV,96,5
BOQW,79,3
BOQX,63,2
BOQY,63,2
BOQZ,141,3
BOR,5601,150
BORR,204,6
BORS,65,1
BORT,321,13
BORU,317,9
BORV,441,13
BORW,185,5
BORX,109,3
BORY,96,2
BORZ,23,1
BOS,1113,26
BOSS,45,1
BOSU,70,2
BOSV,19,1
BOSW,33,1
BOT,5307,144
BOTT,176,6
BOTU,137,5
BOTV,327,12
BOTW,95,3
BOTX,30,2
BOTY,91,3
BOTZ,67,3
BOU,4104,116
BOUV,393,11
BOUW,87,3
BOUX,63,3
BOUY,15,1
BOUZ,37,3
BOV,4164,136
BOVW,46,2
BOVY,95,3
BOVZ,233,8
BOW,2227,58
BOWX,16,1
BOWY,4,1
BOWZ,67,2
BOX,755,28
BOXY,19,1
BOXZ,28,1
BOY,1700,46
BOYZ,43,1
BOZ,1001,26
BP,16101,439
BPQ,2760,89
BPQR,507,19
BPQS,38,2
BPQT,205,8
BPQU,40,2
BPQV,221,7
BPQW,109,5
BPQX,165,5
BPQZ,183,6
BPR,2890,88
BPRR,61,5
BPRS,99,4
BPRT,578,25
BPRU,65,3
BPRV,149,5
BPRW,156,6
BPRX,166,5
BPRY,54,1
BPRZ,244,10
BPS,722,18
BPST,52,3
BPSU,34,1
BPSV,75,2
BPSW,126,3
BPSX,43,1
BPSY,46,1
BPSZ,47,1
BPT,3123,94
BPTT,163,7
BPTU,149,5
BPTV,270,10
BPTW,141,4
BPTX,17,1
BPTY,71,2
BPTZ,176,4
BPU,1215,33
BPUV,113,5
BPUW,139,3
BPUZ,15,1
BPV,2570,82
BPVW,282,9
BPVX,130,4
BPVY,47,1
BPVZ,85,3
BPW,1106,39
BPWX,37,2
BPWZ,147,5
BPX,596,19
BPXY,10,1
BPXZ,59,2
BPY,448,14
BPYZ,24,1
BPZ,967,26
BQ,51732,1484
BQR,8623,293
BQRR,298,11
BQRS,164,6
BQRT,633,23
BQRU,162,8
BQRV,1049,45
BQRW,351,12
BQRX,471,13
BQRY,113,3
BQRZ,504,19
BQS,2820,80
BQSS,50,1
BQST,334,11
BQSU,23,1
BQSV,260,8
BQSW,34,1
BQSZ,160,4
BQT,6879,238
BQTT,233,9
BQTU,62,2
BQTV,604,26
BQTW,302,10
BQTX,157,7
BQTY,52,3
BQTZ,165,7
BQU,3293,106
BQUV,221,8
BQUW,37,2
BQUX,151,6
BQUY,108,4
BQUZ,200,6
BQV,7592,251
BQVW,116,7
BQVX,196,10
BQVY,89,3
BQVZ,256,10
BQW,4007,125
BQWX,95,2
BQWZ,88,3
BQX,2129,67
BQXY,40,1
BQXZ,54,3
BQY,1937,56
BQYZ,106,2
BQZ,3813,123
BR,43203,1146
BRR,3322,115
BRRS,64,1
BRRT,378,18
BRRU,167,6
BRRV,386,16
BRRW,89,4
BRRX,87,3
BRRY,123,4
BRRZ,142,7
BRS,2160,55
BRST,409,10
BRSU,60,1
BRSV,316,10
BRSW,20,1
BRSY,77,2
BRSZ,151,6
BRT,7615,238
BRTT,395,17
BRTU,150,5
BRTV,997,38
BRTW,461,19
BRTX,393,15
BRTY,142,5
BRTZ,479,14
BRU,3015,91
BRUV,163,6
BRUW,66,3
BRUX,101,3
BRUY,31,1
BRUZ,107,4
BRV,6853,227
BRVW,289,12
BRVX,153,7
BRVY,304,9
BRVZ,354,10
BRW,3459,95
BRWX,160,6
BRWY,94,4
BRWZ,162,5
BRX,3026,84
BRXY,48,1
BRXZ,72,5
BRY,1796,48
BRYZ,24,1
BRZ,2653,80
BS,13826,329
BSS,497,11
BSST,25,1
BSSW,63,1
BSSY,22,1
BSSZ,22,1
BST,3216,80
BSTT,74,2
BSTU,106,2
BSTV,190,6
BSTW,135,4
BSTX,56,1
BSTZ,42,2
BSU,992,25
BSUV,135,4
BSUW,50,1
BSUZ,17,1
BSV,1938,53
BSVW,100,4
BSVY,48,1
BSVZ,156,6
BSW,1110,27
BSX,856,18
BSXZ,16,2
BSY,332,12
BSZ,862,27
BT,47332,1312
BTT,3942,125
BTTU,42,2
BTTV,384,14
BTTW,223,9
BTTX,73,3
BTTY,16,1
BTTZ,128,5
BTU,4254,119
BTUV,388,15
BTUW,67,2
BTUX,130,3
BTUY,84,5
BTUZ,10,1
BTV,7393,257
BTVW,346,13
BTVX,270,8
BTVY,118,5
BTVZ,261,14
BTW,3483,109
BTWX,132,4
BTWY,106,3
BTWZ,26,2
BTX,2681,70
BTXZ,241,6
BTY,1902,50
BTZ,3407,88
BU,25026,660
BUV,2998,103
BUVW,180,8
BUVX,52,1
BUVY,44,2
BUVZ,315,10
BUW,1417,44
BUWX,43,1
BUWY,62,2
BUWZ,42,1
BUX,1042,29
BUXZ,15,1
BUY,924,22
BUYZ,39,1
BUZ,1494,41
BV,36606,1070
BVW,2837,92
BVWX,157,7
BVWZ,137,5
BVX,2017,60
BVXY,27,2
BVXZ,70,3
BVY,1264,36
BVYZ,137,4
BVZ,3452,100
BW,15611,433
BWX,896,29
BWXZ,156,4
BWY,644,21
BWYZ,114,3
BWZ,1363,35
BX,10571,266
BXY,333,10
BXYZ,59,2
BXZ,766,21
BY,11478,259
BYZ,492,14
BZ,15669,403
C,189024,4416
CD,24781,719
CDE,3105,94
CDEE,144,5
CDEF,56,3
CDEG,296,9
CDEH,33,1
CDEI,160,6
CDEJ,236,8
CDEK,106,4
CDEL,174,5
CDEM,71,4
CDEN,229,7
CDEO,244,6
CDEP,28,2
CDEQ,154,6
CDER,348,11
CDES,15,1
CDET,228,6
CDEU,163,5
CDEV,52,2
CDEW,21,2
CDEX,77,3
CDEZ,105,4
CDF,2170,68
CDFG,412,12
CDFH,17,1
CDFI,60,2
CDFJ,196,7
CDFK,192,5
CDFL,167,5
CDFM,106,4
CDFN,392,19
CDFO,121,3
CDFP,41,3
CDFQ,173,10
CDFR,298,10
CDFS,163,4
CDFT,281,13
CDFU,46,3
CDFV,126,8
CDFW,64,2
CDFX,76,3
CDFY,191,6
CDFZ,151,5
CDG,3653,130
CDGH,42,1
CDGI,250,10
CDGJ,148,8
CDGL,284,14
CDGM,171,6
CDGN,465,23
CDGO,178,6
CDGP,186,9
CDGQ,285,12
CDGR,745,27
CDGS,85,3
CDGT,440,23
CDGU,165,7
CDGV,269,11
CDGW,207,6
CDGX,63,3
CDGY,328,9
CDGZ,101,6
CDH,930,27
CDHI,127,4
CDHK,68,2
CDHL,79,2
CDHM,39,2
CDHN,261,9
CDHO,172,4
CDHP,103,3
CDHQ,145,4
CDHR,49,2
CDHT,276,7
CDHU,90,2
CDHV,72,3
CDHX,96,2
CDHY,29,1
CDHZ,50,2
CDI,4279,128
CDII,168,6
CDIJ,66,3
CDIK,79,2
CDIL,143,5
CDIM,44,1
CDIN,147,6
CDIO,177,4
CDIP,138,4
CDIQ,215,7
CDIR,299,12
CDIT,353,10
CDIU,121,5
CDIV,167,6
CDIW,96,3
CDIX,140,5
CDIZ,100,4
CDJ,2107,69
CDJK,46,2
CDJL,382,17
CDJM,67,3
CDJN,539,19
CDJO,129,5
CDJP,50,1
CDJQ,248,10
CDJR,496,16
CDJS,95,3
CDJT,270,8
CDJU,110,4
CDJV,324,12
CDJW,154,5
CDJX,58,1
CDJY,31,2
CDJZ,26,2
CDK,1427,39
CDKL,135,8
CDKM,186,6
CDKN,342,13
CDKO,227,5
CDKQ,326,11
CDKR,209,8
CDKS,30,1
CDKT,104,6
CDKU,18,1
CDKV,219,7
CDKW,37,1
CDKY,76,2
CDKZ,43,2
CDL,3186,109
CDLM,310,10
CDLN,663,33
CDLO,96,3
CDLQ,276,11
CDLR,510,20
CDLS,29,1
CDLT,344,15
CDLU,116,3
CDLV,334,16
CDLW,115,7
CDLX,32,1
CDLY,127,4
CDLZ,298,9
CDM,1303,50
CDMN,368,12
CDMO,9,1
CDMP,16,1
CDMQ,181,10
CDMR,262,9
CDMS,54,2
CDMT,54,2
CDMU,60,2
CDMV,120,4
CDMW,68,2
CDMX,110,4
CDMY,26,1
CDMZ,76,3
CDN,5089,184
CDNN,477,19
CDNO,101,3
CDNP,367,14
CDNQ,1014,45
CDNR,770,30
CDNS,175,7
CDNT,626,26
CDNU,215,8
CDNV,779,24
CDNW,320,12
CDNX,257,11
CDNY,221,6
CDNZ,406,15
CDO,2624,68
CDOO,83,3
CDOP,32,1
CDOQ,148,4
CDOR,320,7
CDOT,184,5
CDOU,91,3
CDOV,98,5
CDOW,31,1
CDOY,58,1
CDOZ,39,1
CDP,1969,59
CDPQ,216,8
CDPR,384,14
CDPS,163,5
CDPT,296,11
CDPU,50,1
CDPV,243,8
CDPW,97,3
CDPX,31,1
CDPY,77,2
CDPZ,177,6
CDQ,5148,180
CDQR,733,32
CDQS,62,4
CDQT,456,20
CDQU,77,3
CDQV,345,12
CDQW,209,9
CDQX,331,7
CDQY,124,5
CDQZ,238,9
CDR,5966,193
CDRR,326,12
CDRS,290,8
CDRT,919,31
CDRU,62,3
CDRV,762,30
CDRW,179,9
CDRX,270,10
CDRY,188,4
CDRZ,421,17
CDS,1626,41
CDSS,66,3
CDST,281,9
CDSU,52,3
CDSV,117,3
CDSW,45,1
CDSX,34,2
CDSZ,109,4
CDT,4842,168
CDTT,569,21
CDTU,60,3
CDTV,633,28
CDTW,377,13
CDTX,128,5
CDTY,160,4
CDTZ,262,11
CDU,2459,78
CDUV,161,7
CDUW,23,1
CDUY,39,3
CDUZ,55,2
CDV,4691,168
CDVW,126,6
CDVX,74,5
CDVY,73,5
CDVZ,208,9
CDW,1758,60
CDWX,131,5
CDWY,40,1
CDWZ,144,6
CDX,1181,33
CDXY,83,2
CDXZ,94,2
CDY,706,21
CDYZ,29,1
CDZ,2082,59
CE,58360,1493
CEE,9224,268
CEEE,257,9
CEEF,170,6
CEEG,170,6
CEEH,51,2
CEEI,284,12
CEEJ,135,5
CEEK,136,5
CEEL,415,13
CEEM,108,5
CEEN,392,15
CEEO,363,14
CEEP,213,7
CEEQ,485,18
CEER,314,13
CEES,68,1
CEET,448,14
CEEU,251,11
CEEV,370,13
CEEW,50,2
CEEX,60,3
CEEY,127,5
CEEZ,210,7
CEF,3180,94
CEFG,65,2
CEFH,16,1
CEFI,117,4
CEFJ,55,2
CEFK,81,3
CEFL,98,4
CEFM,34,1
CEFN,215,7
CEFO,117,4
CEFP,24,2
CEFQ,323,11
CEFR,177,7
CEFS,47,1
CEFT,109,5
CEFU,78,4
CEFV,115,4
CEFW,33,2
CEFX,57,1
CEFY,129,3
CEFZ,47,2
CEG,7280,230
CEGH,60,1
CEGI,506,19
CEGJ,167,6
CEGK,26,1
CEGL,218,9
CEGM,182,6
CEGN,531,23
CEGO,464,14
CEGP,207,6
CEGQ,529,22
CEGR,399,13
CEGS,87,3
CEGT,343,12
CEGU,258,12
CEGV,357,16
CEGW,86,3
CEGX,62,2
CEGY,47,1
CEGZ,78,4
CEH,1835,45
CEHI,44,1
CEHK,48,1
CEHL,188,4
CEHM,76,3
CEHN,209,6
CEHP,77,3
CEHQ,52,2
CEHR,117,3
CEHS,26,1
CEHT,139,3
CEHV,162,3
CEHW,41,1
CEHY,39,1
CEHZ,35,1
CEI,14420,383
CEII,771,21
CEIJ,388,14
CEIK,148,5
CEIL,410,17
CEIM,181,5
CEIN,770,24
CEIO,704,22
CEIP,228,8
CEIQ,667,25
CEIR,651,27
CEIS,171,3
CEIT,781,24
CEIU,306,14
CEIV,482,17
CEIW,132,6
CEIX,83,3
CEIY,99,5
CEIZ,172,10
CEJ,4904,141
CEJK,97,3
CEJL,110,4
CEJM,191,6
CEJN,135,4
CEJO,105,4
CEJP,141,4
CEJQ,216,8
CEJR,462,15
CEJT,169,6
CEJU,233,8
CEJV,276,11
CEJW,139,4
CEJX,43,2
CEJY,109,4
CEJZ,115,4
CEK,2935,73
CEKL,121,4
CEKM,22,1
CEKN,102,3
CEKO,33,2
CEKP,49,1
CEKQ,63,3
CEKR,484,12
CEKT,225,8
CEKU,19,1
CEKV,295,9
CEKW,25,1
CEKX,44,1
CEKY,36,1
CEKZ,23,1
CEL,5742,171
CELN,682,28
CELO,199,9
CELP,260,8
CELQ,388,16
CELR,401,15
CELS,148,4
CELT,132,4
CELU,127,4
CELV,295,16
CELW,391,13
CELX,111,3
CELY,72,2
CELZ,98,3
CEM,3314,93
CEMN,284,10
CEMO,199,4
CEMQ,182,6
CEMR,113,5
CEMS,120,2
CEMT,137,7
CEMU,48,2
CEMV,161,5
CEMW,134,4
CEN,9865,304
CENN,387,16
CENO,253,10
CENP,110,7
CENQ,593,25
CENR,608,22
CENS,25,1
CENT,849,25
CENU,433,17
CENV,437,18
CENW,453,16
CENX,68,6
CENY,100,3
CENZ,93,5
CEO,9672,244
CEOO,161,5
CEOP,116,4
CEOQ,343,12
CEOR,387,12
CEOS,117,3
CEOT,226,8
CEOU,215,9
CEOV,407,16
CEOW,221,7
CEOX,31,1
CEOY,58,2
CEOZ,67,2
CEP,3132,82
CEPQ,84,4
CEPR,140,5
CEPT,162,4
CEPU,167,6
CEPV,38,2
CEPW,102,4
CEPX,20,1
CEPY,55,2
CEPZ,30,1
CEQ,10425,352
CEQR,477,16
CEQS,28,1
CEQT,815,32
CEQU,292,9
CEQV,472,19
CEQW,228,9
CEQX,289,10
CEQY,148,5
CEQZ,295,12
CER,8003,226
CERR,466,12
CERS,18,1
CERT,362,13
CERU,291,8
CERV,425,18
CERW,300,9
CERX,43,2
CERY,112,3
CERZ,130,6
CES,1981,47
CESS,34,1
CEST,69,2
CESU,55,3
CESV,70,3
CESW,36,1
CESZ,12,1
CET,9216,256
CETT,63,2
CETU,300,9
CETV,491,15
CETW,193,6
CETX,99,3
CETY,90,3
CETZ,366,11
CEU,6335,181
CEUV,347,11
CEUW,61,2
CEUX,12,1
CEUY,20,1
CEUZ,50,3
CEV,8164,255
CEVW,464,15
CEVX,158,5
CEVY,143,4
CEVZ,234,7
CEW,3330,94
CEWX,40,1
CEWY,20,1
CEWZ,58,2
CEX,1935,55
CEXZ,63,3
CEY,2891,68
CEYZ,69,2
CEZ,3445,94
CF,19795,568
CFG,2854,93
CFGH,39,1
CFGJ,272,9
CFGK,114,4
CFGL,83,4
CFGM,208,10
CFGN,427,19
CFGO,110,3
CFGP,280,9
CFGQ,277,9
CFGR,302,12
CFGS,69,2
CFGT,293,15
CFGU,115,5
CFGV,147,8
CFGW,104,3
CFGX,149,5
CFGY,58,2
CFGZ,148,4
CFH,1059,28
CFHI,38,1
CFHJ,16,1
CFHK,68,2
CFHL,42,2
CFHM,38,1
CFHN,146,4
CFHO,38,1
CFHP,73,4
CFHQ,38,1
CFHR,197,5
CFHT,73,3
CFHU,51,2
CFHV,76,4
CFHX,216,7
CFHY,39,1
CFHZ,110,4
CFI,4206,117
CFII,91,4
CFIJ,155,6
CFIK,26,1
CFIL,116,5
CFIM,29,2
CFIN,279,10
CFIO,46,2
CFIP,82,3
CFIQ,79,4
CFIR,105,5
CFIS,98,3
CFIT,174,8
CFIU,170,7
CFIV,152,6
CFIW,118,4
CFIY,98,3
CFIZ,48,1
CFJ,1577,53
CFJK,15,2
CFJL,86,3
CFJM,58,2
CFJN,411,18
CFJP,164,5
CFJQ,299,10
CFJR,212,7
CFJS,43,2
CFJT,321,9
CFJU,43,3
CFJV,239,9
CFJW,223,9
CFJX,23,1
CFJY,52,2
CFJZ,217,6
CFK,2102,57
CFKL,89,2
CFKM,55,1
CFKN,157,6
CFKO,221,5
CFKP,72,3
CFKQ,360,13
CFKR,193,7
CFKS,214,4
CFKT,262,9
CFKU,39,1
CFKV,229,8
CFKW,11,1
CFKZ,32,1
CFL,2315,75
CFLM,120,4
CFLN,385,17
CFLP,304,9
CFLQ,487,19
CFLR,784,25
CFLT,220,8
CFLU,95,3
CFLV,306,15
CFLW,45,2
CFLX,230,5
CFLY,44,2
CFLZ,87,4
CFM,1607,45
CFMN,71,3
CFMO,89,2
CFMP,92,4
CFMQ,370,14
CFMR,319,9
CFMS,154,4
CFMT,369,11
CFMU,149,5
CFMV,132,6
CFMW,151,5
CFMX,77,2
CFMZ,98,4
CFN,5158,167
CFNN,260,12
CFNO,51,3
CFNP,291,10
CFNQ,565,21
CFNR,735,22
CFNS,162,5
CFNT,631,25
CFNU,207,6
CFNV,524,23
CFNW,166,7
CFNX,116,3
CFNY,107,3
CFNZ,341,11
CFO,2163,60
CFOP,33,1
CFOQ,125,4
CFOR,287,9
CFOS,11,1
CFOT,215,6
CFOU,79,3
CFOV,164,5
CFOW,63,2
CFOX,60,1
CFOZ,33,1
CFP,1615,44
CFPQ,106,4
CFPR,430,16
CFPS,59,2
CFPT,185,5
CFPU,100,3
CFPV,129,6
CFPW,56,2
CFPX,26,1
CFPZ,171,5
CFQ,4768,145
CFQR,349,11
CFQS,161,5
CFQT,463,17
CFQU,128,5
CFQV,582,22
CFQW,185,8
CFQX,233,8
CFQY,54,2
CFQZ,186,5
CFR,4524,146
CFRR,143,5
CFRS,86,3
CFRT,581,18
CFRU,215,7
CFRV,384,16
CFRW,261,10
CFRX,306,10
CFRY,88,3
CFRZ,192,8
CFS,1244,35
CFSS,42,1
CFST,22,1
CFSU,49,2
CFSV,114,4
CFSX,29,1
CFSY,29,1
CFSZ,43,1
CFT,4002,131
CFTT,162,7
CFTU,124,4
CFTV,353,16
CFTW,202,7
CFTX,141,4
CFTY,76,3
CFTZ,81,4
CFU,2276,68
CFUV,153,4
CFUW,79,2
CFUX,34,1
CFUY,83,4
CFUZ,52,2
CFV,3396,110
CFVW,164,8
CFVX,35,2
CFVY,53,1
CFVZ,149,8
CFW,1734,51
CFWX,33,1
CFWY,90,3
CFWZ,41,1
CFX,649,20
CFXZ,105,2
CFY,875,30
CFYZ,9,1
CFZ,892,33
CG,35724,1066
CGH,999,34
CGHI,152,6
CGHJ,80,3
CGHK,39,1
CGHL,64,3
CGHM,168,4
CGHN,215,6
CGHO,35,1
CGHP,66,2
CGHQ,123,3
CGHR,202,8
CGHS,29,1
CGHT,299,9
CGHU,125,5
CGHV,176,6
CGHW,38,2
CGHX,45,2
CGHY,72,2
CGHZ,164,4
CGI,8096,259
CGII,237,12
CGIJ,264,7
CGIK,37,2
CGIL,266,9
CGIM,48,3
CGIN,304,17
CGIO,276,12
CGIP,89,3
CGIQ,342,17
CGIR,492,17
CGIS,104,3
CGIT,289,14
CGIU,385,13
CGIV,363,16
CGIW,100,5
CGIX,33,2
CGIY,47,2
CGIZ,220,7
CGJ,5620,177
CGJK,299,10
CGJL,398,17
CGJM,260,9
CGJN,563,27
CGJO,91,3
CGJP,89,5
CGJQ,516,20
CGJR,803,30
CGJS,46,2
CGJT,424,16
CGJU,130,4
CGJV,568,17
CGJW,262,10
CGJX,188,7
CGJY,257,8
CGJZ,183,9
CGK,1643,54
CGKL,239,8
CGKM,69,3
CGKN,365,18
CGKO,80,4
CGKP,61,2
CGKQ,369,14
CGKR,242,9
CGKS,58,2
CGKT,112,5
CGKU,25,2
CGKV,486,18
CGKW,138,5
CGKX,45,2
CGKY,22,1
CGKZ,93,5
CGL,4806,166
CGLM,222,8
CGLN,456,22
CGLO,158,5
CGLP,275,11
CGLQ,737,34
CGLR,923,43
CGLS,202,4
CGLT,743,29
CGLU,112,6
CGLV,427,20
CGLW,223,8
CGLX,233,7
CGLY,104,5
CGLZ,239,11
CGM,2181,71
CGMN,396,20
CGMO,75,4
CGMP,33,1
CGMQ,102,2
CGMR,490,21
CGMS,29,1
CGMT,418,15
CGMU,33,1
CGMV,347,14
CGMX,170,5
CGMZ,106,4
CGN,8509,300
CGNN,790,32
CGNO,396,13
CGNP,361,15
CGNQ,1387,53
CGNR,1215,46
CGNS,383,12
CGNT,891,38
CGNU,253,11
CGNV,974,39
CGNW,466,17
CGNX,262,9
CGNY,255,10
CGNZ,688,26
CGO,4537,126
CGOO,140,5
CGOP,82,2
CGOQ,39,2
CGOR,184,6
CGOS,54,1
CGOT,316,9
CGOU,13,1
CGOV,110,4
CGOW,7,1
CGOX,41,1
CGOZ,39,3
CGP,3357,110
CGPQ,351,13
CGPR,549,20
CGPS,26,1
CGPT,200,8
CGPU,116,5
CGPV,207,7
CGPW,65,3
CGPX,67,3
CGPY,18,1
CGPZ,215,6
CGQ,8655,304
CGQR,1119,50
CGQS,156,6
CGQT,930,37
CGQU,199,10
CGQV,853,39
CGQW,349,12
CGQX,376,15
CGQY,486,15
CGQZ,452,15
CGR,6951,254
CGRR,489,17
CGRS,336,12
CGRT,1244,51
CGRU,245,11
CGRV,1019,41
CGRW,421,12
CGRX,168,9
CGRY,112,5
CGRZ,597,18
CGS,2227,70
CGSS,40,2
CGST,197,7
CGSU,49,2
CGSV,153,5
CGSW,99,3
CGSX,19,1
CGSY,89,2
CGSZ,90,2
CGT,7375,253
CGTT,392,14
CGTU,250,10
CGTV,873,41
CGTW,485,17
CGTX,174,7
CGTY,118,3
CGTZ,328,10
CGU,4569,156
CGUV,272,13
CGUW,197,7
CGUX,116,3
CGUY,53,2
CGUZ,27,2
CGV,6095,226
CGVW,173,7
CGVX,562,21
CGVY,156,7
CGVZ,461,18
CGW,2882,96
CGWX,8,1
CGWY,91,4
CGWZ,136,7
CGX,1399,48
CGXY,34,1
CGXZ,21,2
CGY,1280,39
CGYZ,51,2
CGZ,2605,85
CH,11972,294
CHI,2084,54
CHII,177,8
CHIJ,70,3
CHIL,43,2
CHIM,45,1
CHIN,99,2
CHIO,83,3
CHIP,64,2
CHIQ,254,9
CHIR,14,1
CHIS,30,1
CHIT,56,1
CHIU,88,2
CHIV,38,1
CHIX,28,1
CHIY,43,1
CHJ,899,25
CHJL,119,4
CHJN,151,5
CHJO,36,2
CHJP,133,4
CHJQ,110,4
CHJR,134,7
CHJS,50,1
CHJT,25,1
CHJU,35,1
CHJV,93,2
CHJX,19,1
CHJZ,59,1
CHK,905,22
CHKL,106,3
CHKM,9,1
CHKN,181,5
CHKP,16,1
CHKQ,38,2
CHKR,91,2
CHKT,49,1
CHKV,66,3
CHKW,71,2
CHKX,37,1
CHKY,83,2
CHKZ,139,5
CHL,1039,27
CHLM,37,1
CHLN,95,3
CHLO,106,3
CHLP,149,3
CHLQ,101,5
CHLR,168,8
CHLT,131,4
CHLU,118,3
CHLV,210,7
CHLW,48,2
CHLX,95,3
CHLZ,24,2
CHM,820,24
CHMN,172,7
CHMO,60,2
CHMP,118,4
CHMQ,40,2
CHMR,129,4
CHMS,60,1
CHMU,36,1
CHMV,53,2
CHMX,44,1
CHMY,32,1
CHN,3310,93
CHNN,71,4
CHNO,106,3
CHNP,223,6
CHNQ,250,8
CHNR,240,7
CHNS,82,2
CHNT,226,8
CHNU,23,1
CHNV,216,9
CHNW,59,2
CHNX,124,4
CHNY,222,6
CHNZ,54,4
CHO,1605,41
CHOO,46,3
CHOQ,70,3
CHOR,70,3
CHOS,48,1
CHOT,97,3
CHOU,53,2
CHOV,35,1
CHOX,50,1
CHOZ,154,3
CHP,618,16
CHPQ,58,2
CHPR,130,4
CHPV,159,4
CHPX,52,1
CHPY,74,2
CHPZ,25,1
CHQ,2416,73
CHQR,325,12
CHQS,66,2
CHQT,222,9
CHQU,25,1
CHQV,341,10
CHQW,51,1
CHQX,69,2
CHQZ,181,7
CHR,2624,71
CHRR,56,2
CHRS,163,4
CHRT,208,6
CHRU,73,3
CHRV,314,11
CHRW,145,6
CHRX,5,1
CHRY,39,2
CHRZ,120,4
CHS,658,14
CHSS,86,2
CHST,58,2
CHSV,39,2
CHT,2230,60
CHTT,154,6
CHTU,101,3
CHTV,299,12
CHTW,144,4
CHTX,73,3
CHTY,131,2
CHTZ,80,2
CHU,1323,33
CHUV,46,1
CHUY,34,1
CHV,2261,64
CHVW,53,1
CHVX,66,2
CHVY,87,3
CHVZ,147,7
CHW,539,18
CHWX,63,1
CHWZ,58,1
CHX,723,16
CHXY,46,1
CHXZ,44,1
CHY,612,17
CHYZ,103,1
CHZ,704,21
CI,71146,1859
CII,10301,343
CIII,446,16
CIIJ,342,11
CIIK,189,8
CIIL,200,11
CIIM,95,4
CIIN,738,25
CIIO,430,13
CIIP,214,7
CIIQ,787,30
CIIR,705,23
CIIS,69,2
CIIT,429,14
CIIU,625,26
CIIV,587,22
CIIW,89,4
CIIX,118,5
CIIY,184,5
CIIZ,239,9
CIJ,7086,202
CIJK,123,5
CIJL,170,8
CIJM,232,8
CIJN,293,11
CIJO,220,11
CIJP,117,6
CIJQ,594,22
CIJR,511,14
CIJS,105,3
CIJT,502,15
CIJU,308,11
CIJV,236,10
CIJW,204,6
CIJX,103,5
CIJY,270,7
CIJZ,154,6
CIK,4441,115
CIKL,152,6
CIKM,191,5
CIKN,137,6
CIKO,145,5
CIKP,94,4
CIKQ,293,9
CIKR,16,1
CIKS,112,2
CIKT,126,4
CIKU,60,3
CIKV,167,7
CIKX,45,1
CIKY,5,1
CIKZ,59,1
CIL,7104,218
CILM,52,2
CILN,156,10
CILO,338,12
CILP,243,6
CILQ,409,17
CILR,388,19
CILS,197,5
CILT,229,10
CILU,365,14
CILV,273,14
CILW,144,5
CILX,65,4
CILY,149,4
CILZ,241,7
CIM,3931,101
CIMN,144,5
CIMO,73,2
CIMP,41,1
CIMQ,226,7
CIMR,100,4
CIMS,28,1
CIMT,179,7
CIMU,31,2
CIMV,279,8
CIMW,113,3
CIMX,72,2
CIMY,20,1
CIMZ,79,2
CIN,9576,306
CINN,458,24
CINO,289,11
CINP,217,9
CINQ,644,30
CINR,563,25
CINS,67,3
CINT,455,18
CINU,539,19
CINV,343,14
CINW,233,9
CINX,219,6
CINY,63,3
CINZ,108,5
CIO,10507,285
CIOO,367,12
CIOP,300,10
CIOQ,634,21
CIOR,544,18
CIOS,44,1
CIOT,386,13
CIOU,286,10
CIOV,128,6
CIOW,90,2
CIOX,49,2
CIOY,46,1
CIOZ,100,4
CIP,3598,93
CIPQ,194,7
CIPR,172,7
CIPS,149,3
CIPT,292,9
CIPU,199,6
CIPV,178,5
CIPW,29,4
CIPZ,49,1
CIQ,13151,435
CIQR,962,42
CIQS,136,5
CIQT,572,23
CIQU,447,17
CIQV,805,26
CIQW,298,12
CIQX,142,6
CIQY,311,10
CIQZ,466,16
CIR,8853,290
CIRR,220,9
CIRS,239,8
CIRT,565,22
CIRU,518,21
CIRV,650,29
CIRW,296,11
CIRX,149,5
CIRY,62,4
CIRZ,266,9
CIS,3395,79
CIST,115,5
CISU,113,2
CISV,45,2
CISW,16,1
CISY,50,1
CISZ,43,1
CIT,9798,289
CITT,113,7
CITU,317,12
CITV,410,19
